 #dectime HR   MN      Qh          Qe           T         H20         WS          DIR           P         Kdn         Ldn       Qstar    
   #units  h    m    W|m2        W|m2        degC        g|m3        m|s          deg         hPa        W|m2        W|m2        W|m2     
 170.7083  17   0  284.06      57.006      24.776      7.8350      3.4450      304.81      1012.5      723.00      315.83      447.26    
 170.7292  17  30  244.39      39.392      24.806      7.7090      3.6030      300.62      1012.3      644.30      317.54      384.26    
 170.7500  18   0  246.68      38.931      24.739      7.9250      3.6420      305.42      1012.2      555.00      316.27      314.37    
 170.7708  18  30  239.32      8.5820      24.747      7.9920      3.6220      305.73      1012.0      460.00      314.38      237.60    
 170.7917  19   0  172.24      38.040      24.489      8.1950      4.0890      312.10      1011.9      363.25      311.46      160.51    
 170.8125  19  30  178.53      39.507      24.607      8.2400      3.9030      318.93      1011.8      265.50      308.61      81.172    
 170.8333  20   0  175.20      40.167      24.337      8.5220      3.4070      315.83      1011.8      172.00      306.58      5.2220    
 170.8542  20  30  118.76      9.6150      23.942      8.8420      3.3320      315.53      1011.9      90.750      304.97     -56.743    
 170.8750  21   0  48.303      13.994      23.623      8.9520      2.7140      313.43      1011.9      28.930      303.64     -94.693    
 170.8958  21  30  35.914      3.5880      23.424      8.8510      2.7860      315.10      1012.1      3.0830      303.98     -107.26    
 170.9167  22   0  21.188      8.0220      22.952      8.8310      2.2770      326.72      1012.2     -3.0860      303.40     -108.18    
 170.9375  22  30  9.9550      3.1990      22.386      8.6690      3.4820      338.44      1012.5     -3.0650      302.54     -105.51    
 170.9583  23   0  21.822      9.0750      21.878      8.6450      2.5090      338.81      1012.7     -3.4500      300.86     -104.46    
 170.9792  23  30  20.499      4.3350      21.467      8.6800      1.7330      321.49      1012.6     -3.5050      303.33     -99.208    
 171.0000   0   0 -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00
 171.0208   0  30  20.709     -2.4690      20.633      9.1530      1.5110      277.03      1012.9     -3.3440      301.76     -95.137    
 171.0417   1   0  4.9950      3.6930      20.642      9.1150     0.31200      278.42      1012.9     -3.5240      296.75     -98.333    
 171.0625   1  30  35.985      6.5650      20.542      9.0220     0.72200      76.573      1012.8     -2.3000      295.79     -97.142    
 171.0833   2   0  10.925      6.7420      20.085      8.9080     0.75300      72.725      1012.7     -2.8540      297.97     -92.822    
 171.1042   2  30  32.603      9.2570      19.939      8.6800     0.67500      119.91      1012.5     -2.5410      295.25     -94.243    
 171.1250   3   0  43.533      16.183      19.938      8.5600     0.35600      131.15      1012.5     -3.0550      295.82     -93.988    
 171.1458   3  30  7.5230      1.3000      19.537      8.3210     0.70700      71.508      1012.6     -2.5450      294.58     -91.918    
 171.1667   4   0  25.338      3.6560      19.413      8.3880     0.60400      105.10      1012.7     -2.6130      293.97     -91.575    
 171.1875   4  30  11.204     -2.5150      19.028      8.2800      1.1160      117.31      1012.7     -2.3080      292.91     -90.707    
 171.2083   5   0  21.506      9.5450      18.750      8.1440     0.85100      104.93      1012.8     -2.5380      292.31     -90.255    
 171.2292   5  30  44.064      10.539      18.573      7.9550      1.3070      119.03      1012.8     -2.1180      291.15     -90.484    
 171.2500   6   0  26.282      3.4410      18.492      7.8970      1.0600      108.83      1012.7    -0.68100      290.69     -89.369    
 171.2708   6  30  22.886      3.0880      18.368      7.7800      1.4190      106.48      1012.6      17.467      289.60     -76.773    
 171.2917   7   0  51.559      6.4470      18.548      7.6960      1.2270      113.49      1012.7      74.640      290.03     -38.185    
 171.3125   7  30  32.694      2.6190      18.646      7.7870      1.1750      119.32      1013.1      158.00      292.26      20.165    
 171.3333   8   0  29.125      10.000      19.417      7.8410     0.71300      95.632      1013.1      243.05      295.03      83.245    
 171.3542   8  30  34.998      19.280      20.486      7.8070     0.38600      68.700      1013.3      328.40      299.18      147.11    
 171.3750   9   0  73.634      40.406      21.291      7.9680     0.82800      311.79      1013.5      414.10      303.48      211.99    
 171.3958   9  30  69.937      55.673      22.084      7.9470     0.85700      308.70      1013.7      504.65      306.71      278.26    
 171.4167  10   0  107.02      13.096      22.256      7.6090      1.9410      314.53      1013.7      599.25      307.27      346.50    
 171.4375  10  30  140.25      39.764      22.630      7.1580      1.8340      320.35      1013.6      689.05      309.21      410.43    
 171.4583  11   0  254.63     -999.00      23.391     -999.00      1.8570      275.06      1013.5      763.00      312.82      461.67    
 171.4792  11  30  229.62     -999.00      23.487     -999.00      2.3340      264.08      1013.4      822.50      314.47      502.68    
 171.5000  12   0  453.19     -999.00      24.041     -999.00      2.0360      247.60      1013.4      872.50      317.37      539.70    
 171.5208  12  30  364.27     -38.845      24.147      7.8150      2.3870      252.16      1013.3      917.50      317.44      573.16    
 171.5417  13   0  338.64      25.579      23.549      8.3220      3.2960      248.25      1013.2      952.50      314.41      599.22    
 171.5625  13  30  600.84     -39.463      23.337      8.2060      3.1060      254.63      1013.2      971.00      312.83      617.10    
 171.5833  14   0 -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00    
 171.6042  14  30 -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00    
 171.6250  15   0 -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00    
 171.6458  15  30 -999.00     -999.00      22.694      7.4860      4.5940      237.16      1012.9      905.00      310.22      594.43    
 171.6667  16   0 -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00
 171.6875  16  30  321.56      150.86      23.559      8.8250      3.1720      256.12      1012.5      797.50      307.57      509.43    
 171.7083  17   0  341.82      294.32      23.979      8.7510      2.7620      251.39      1012.2      731.00      305.20      453.26    
 171.7292  17  30  186.01      69.570      24.046      8.6880      3.5310      243.32      1012.1      651.85      306.37      387.86    
 171.7500  18   0  386.37      28.316      24.141      9.0440      2.9950      226.27      1011.9      561.00      305.05      314.52    
 171.7708  18  30  279.28      67.994      24.076      9.1170      2.8730      230.54      1011.8      466.35      301.69      235.24    
 171.7917  19   0  147.25      58.007      23.820      9.2150      3.1930      216.25      1011.8      366.25      298.39      152.99    
 171.8125  19  30  252.06      128.16      22.619      10.818      3.1980      262.67      1011.8      254.55      299.58      69.605    
 171.8333  20   0  232.86      135.46      21.933      11.762      2.1370      270.31      1011.9      162.85      299.80     -1.4100    
 171.8542  20  30  171.66      114.47      22.099      11.478      1.5370      295.85      1011.9      90.750      298.78     -57.511    
 171.8750  21   0  124.87      33.660      21.906      10.928      1.4520      262.26      1011.9      40.705      295.86     -90.742    
 171.8958  21  30  57.978      53.212      21.474      11.280      1.3660      200.71      1011.9      4.6780      294.55     -108.36    
 171.9167  22   0  35.983      30.313      21.368      10.175      1.2120      229.65      1012.0     -3.3660      291.94     -114.08    
 171.9375  22  30  33.496      14.179      21.444      9.9920      1.0180      237.28      1012.1     -3.2650      289.85     -114.39    
 171.9583  23   0  21.729      18.092      20.981      10.471      1.1930      270.21      1012.0     -3.8690      288.56     -112.83    
 171.9792  23  30  26.754     0.97800      20.486      10.947      1.2540      246.76      1012.0     -3.6610      288.25     -109.82    
 172.0000   0   0  44.047     -3.7840      20.269      11.200     0.90100      224.00      1011.8     -3.3320      291.02     -105.37    
 172.0208   0  30  52.992     -6.9220      19.976      11.547      1.2870      153.79      1011.5     -3.3050      291.56     -102.91    
 172.0417   1   0  69.751     -29.588      19.879      11.731      1.2770      150.73      1011.2     -2.9960      293.76     -99.510    
 172.0625   1  30  42.744    -0.70300      19.456      12.121      1.9710      157.35      1011.0     -2.9350      293.40     -97.448    
 172.0833   2   0  41.554     -2.4230      19.721      12.064      1.1600      140.89      1010.7     -2.6820      294.92     -96.069    
 172.1042   2  30  16.881      4.3380      20.054      11.859     0.45300      85.423      1010.5     -2.6950      297.84     -94.265    
